Product name,Total stock value ,In Stock,Sold,Damaged,Return to supplier ,Warehouse returns ,Revoked ,Missing ,Expired 
10 بسكوت ماري,25.60,51.00,,,,,,0.00,0.00
"10"" cube Bowl with Lid",6.30,3.00,,,,,,,0.00
10inch bowl,3.30,3.00,,,,,,,0.00
10pce indomine noodles,3.00,3.00,1.00,,,,,0.00,0.00
"11.5"" Coup spoon",2.40,6.00,,,,,,,0.00
"12"" Serving plate",4.20,3.00,,,,,,,0.00
"13.75"" Serving plate",4.00,2.00,,,,,,,0.00
"15.75"" serving plate",2.30,1.00,,,,,,,0.00
١٦عبوة /بسكوت اريو,3.60,3.00,,,,,,0.00,0.00
2 in 1 travel charger,15.90,3.00,,,,,,,0.00
3 grooved sponge,6.50,13.00,3.00,,,,,,0.00
3 pin,3.60,8.00,9.00,,,,,0.00,0.00
303 capsule,1.00,1.00,39.00,,,,,0.00,0.00
303 SS Blue,0.00,0.00,90.00,,,,,0.00,0.00
303 SS Menthol,5.75,5.00,114.00,,,,,0.00,0.00
303 SS White,0.00,0.00,10.00,,,,,0.00,0.00
3in1 cable,0.00,0.00,2.00,,,,,1.00,0.00
3plecerazor.,7.70,11.00,1.00,,,,,0.00,0.00
٣٢ قطعة /كوكيز كوكي مونستا,0.00,0.00,,,,,,,0.00
50biza,0.44,11.00,,,,,,,0.00
5in1 fitness series,12.00,2.00,,,,,,0.00,0.00
67W Adapter,3.30,1.00,1.00,,,,,0.00,0.00
67W PD Adapter,9.90,3.00,0.00,,,,,0.00,0.00
7 days cake bar,0.00,0.00,13.00,,,,,0.00,0.00
7 Days Double venilla Cocoa,1.38,8.00,1.00,,,,,0.00,0.00
7 days vanila cream,0.00,0.00,9.00,,,,,0.00,0.00
7days,0.00,0.00,14.00,,,,,,0.00
7days 2cake bar,3.36,12.00,0.00,,,,,,0.00
7days cake bar,0.15,2.00,11.00,,,,,0.00,0.00
7days croissant,1.50,10.00,386.00,,,,,0.00,0.00
7days croissant toffee,0.56,3.00,10.00,,,,,0.00,0.00
7days double caramel,0.00,0.00,,,,,,,0.00
7days jumbo croissant100g,0.00,0.00,3.00,,,,,0.00,0.00
7days mini croissant,0.00,0.00,31.00,,,,,24.00,0.00
7days mini croissant tofee,0.35,2.00,3.00,,,,,0.00,0.00
7days roll,0.00,0.00,,,,,,,0.00
7days roll,0.00,0.00,49.00,,,,,0.00,0.00
7days swiss roll cocoa,0.07,1.00,29.00,,,,,0.00,0.00
7Dayse hshwa,0.19,1.00,18.00,,,,,0.00,0.00
7up 1liter,0.00,0.00,15.00,,,,,,0.00
7up 330ml,19.20,96.00,,,,,,0.00,0.00
7UP bottle 250 ml,3.06,13.00,,,,,,,0.00
"9.5"" lovely bowl with lid",6.00,3.00,,,,,,,0.00
9501025181923,1.48,37.00,34.00,,,,,0.00,0.00
A+ Lighter,1.80,12.00,39.00,,,,,0.00,0.00
A+ lighter big,8.00,8.00,3.00,,,,,0.00,0.00
a+ pLus,0.80,2.00,3.00,,,,,0.00,0.00
A4 sheet,0.80,1.00,60.00,,,,,,0.00
A4 sheet,11.90,7.00,3.00,,,,,0.00,0.00
abu ais 5kg,8.00,5.00,3.00,,,,,0.00,0.00
Abu Aziz sugar 2kg,0.60,1.00,,,,,,,0.00
abuawais,0.00,0.00,3.00,,,,,1.00,0.00
Abuvalath,0.80,8.00,1.00,,,,,,0.00
accord,0.50,1.00,2.00,,,,,0.00,0.00
acne.soap,0.40,4.00,2.00,,,,,0.00,0.00
ACTIIA LABAN,0.00,0.00,13.00,,,,,12.00,0.00
Active despossible,1.20,2.00,10.00,,,,,0.00,0.00
adapter,2.50,5.00,,,,,,,0.00
adapter,0.00,0.00,3.00,,,,,2.00,0.00
Address book,1.70,17.00,3.00,,,,,0.00,0.00
Aeroplane pickle 400g,0.00,0.00,7.00,,,,,5.00,0.00
Aeroplane pickle 400g,1.75,7.00,3.00,,,,,0.00,0.00
Aeroplane pickle chilly,1.00,4.00,2.00,,,,,0.00,0.00
Aeroplane pickle Lime,0.00,0.00,9.00,,,,,6.00,0.00
Af3cap,110.00,44.00,47.00,,,,,0.00,0.00
afamia olive oil,5.40,4.00,1.00,,,,,0.00,0.00
Afia cooking oil 1.5l,8.50,5.00,5.00,,,,,0.00,0.00
Afia cooking oil 1.5l,10.80,6.00,6.00,,,,,0.00,0.00
Afia cooking oil 2.9l,3.60,1.00,,,,,,,0.00
Afia sunflower oil .75l,14.40,16.00,,,,,,,0.00
aflh,0.00,0.00,12.00,,,,,30.00,0.00
ahsanspry,0.40,1.00,,,,,,,0.00
Aid - Plus,1.80,2.00,3.00,,,,,0.00,0.00
Air freshener..Lavender,0.00,0.00,,,,,,,0.00
Air Lisha chocolate,0.00,0.00,,,,,,,0.00
Air Misha Chocolate,0.00,0.00,,,,,,,0.00
Air tight Jar 2pcs,6.90,6.00,,,,,,,0.00
Air tight Jar 3pcs,5.00,5.00,1.00,,,,,0.00,0.00
ajay,0.00,0.00,3.00,,,,,1.00,0.00
Ajay (com),1.50,5.00,,,,,,,0.00
Ajay (sens),2.00,4.00,,,,,,,0.00
ajay.hard,2.20,11.00,1.00,,,,,,0.00
ajay.soft,4.32,18.00,,,,,,,0.00
ajaybrush,0.90,3.00,1.00,,,,,0.00,0.00
