STOCK REGISTER REPORT (15-02-2026),,,,,,,,
SNo,Product Name,Barcode,Product Code,Category,Subcategory,stock,Avg Cost,Value
1,CROWN YELLOW POPCORN 10-OZ,10036,012656655800,UNAVAILABLE,UNAVAILABLE,-2 Nos,0.350,-0.700
2,DABEE MANGO PICKLE 400GMS,10039,8906001056461,UNAVAILABLE,UNAVAILABLE,-4 Nos,0.000,0.000
3,FAMILY MEAT TUNA FLK 185G,10045,000024501453,UNAVAILABLE,UNAVAILABLE,-36 Nos,0.600,-21.600
4,MAGGI COCONUT MILK POWDER 300GM,10213,4792024009171,UNAVAILABLE,UNAVAILABLE,-2 Nos,1.350,-2.700
5,NABIL CRACKERS 38GM X12,9501025023018,9501025023018,UNAVAILABLE,UNAVAILABLE,-2 Nos,0.800,-1.600
6,MIAOW MIAOW CHEESE FLAU RINGS,35563,9556345018312,UNAVAILABLE,UNAVAILABLE,-192 Nos,0.525,-100.800
7,ATYAB CROISSANT CHOCLATE,9501100306715,9501100306715,UNAVAILABLE,UNAVAILABLE,-722 Nos,0.175,-126.350
8,TAM TOM CHIPS,35412,9501100016027,UNAVAILABLE,UNAVAILABLE,-89 Nos,0.075,-6.675
9,LULU POTATO SNACKS,35413,9501100015129,UNAVAILABLE,UNAVAILABLE,-907 Nos,0.075,-68.025
10,SEMOLINA,35656,6291023410622,UNAVAILABLE,UNAVAILABLE,-1 Nos,0.000,0.000
11,DAILY FRESH HOMMOS TAHINEH,10623,6271006263117,UNAVAILABLE,UNAVAILABLE,-2 Nos,0.500,-1.000
12,AMER/GAD POPCORN NATURAL 297G,34083,017273550309,UNAVAILABLE,UNAVAILABLE,-2 Nos,1.600,-3.200
13,DAILY FRESH L/MEAT TUNA FLAKE,10391,6291023010891,UNAVAILABLE,UNAVAILABLE,-16 Nos,0.550,-8.800
14,FURIT CAKE,39369,9501100307330,UNAVAILABLE,UNAVAILABLE,-641 Nos,0.175,-112.175
